交易日期,品種代碼,魚貨名稱,市場名稱,上價,中價,下價,交易量,平均價,
1060525,2042,紅魚(沿海),新竹,134.6,67.3,43.5,201.4,76,
1060525,2051,紅目鰱,新竹,560,542.3,470.6,3.4,531.5,
1060525,2061,黃花(沿海),彰化,205,172,161,486.5,172.1,
1060525,2064,白口,桃園,235,114.6,48,52,113.1,
1060525,2064,白口,嘉義,320.4,190.5,118,29.6,202,
1060525,2071,四破,佳里,45,43,0,45,44.3,
1060525,2071,四破,桃園,72,60,55,187.4,60.8,
1060525,2073,硬尾,台中,44.5,30.6,25,688,29.6,
1060525,2073,硬尾,苗栗,28,24,20,202,22.8,
1060525,2073,硬尾,新竹,0,32,0,33,32,
1060525,2074,巴闌,三重,43,31.4,30,448,33.4,
1060525,2074,巴闌,嘉義,274,267.6,252.2,278,265.8,
1060525,2075,紅尾,斗南,43,36,30.5,172,36.3,
1060525,2075,紅尾,桃園,75.3,41.8,40,180,48.9,
1060525,2092,黑鯧,台中,419.3,347.9,160.3,218,222.6,
1060525,2092,黑鯧,新竹,202.5,180.2,180,100.9,184.6,
1060525,2092,黑鯧,嘉義,303.5,183.2,140,147.5,198.6,
1060525,2099,其他鯧類,佳里,122,120,115,60,117.4,
1060525,2102,青鱗,彰化,0,272,0,6.3,272,
1060525,2105,丁香,斗南,160,160,160,6,160,
1060525,2116,黑鮪肉,新竹,110,0,0,16,110,
1060525,2136,旗魚肉,佳里,0,155,0,16.9,155,
1060525,2139,其他旗魚,台中,116.5,89.6,72,181,93.8,
1060525,2141,土魠,台中,365,331.4,297.1,714,310.4,
1060525,2141,土魠,埔心,359,314.6,293.8,159.3,323.8,
1060525,2145,石喬,新竹,179.4,163.5,145,42,163,
